file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,annotation,modification,usi
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1261,4.657317862,175035.6787,489.0550902,2,-336.5178196,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1296,4.788272362,255377.9135,401.3528975,2,-511.9222051,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1327,4.903096251,261382.6129,414.3152304,2,-485.9975392,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1343,4.961526977,148891.866,405.2994853,2,-504.0290294,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1375,5.08140945,173624.027,436.8789538,2,-440.8700925,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1412,5.219861264,250026.6216,402.1795454,2,-510.2689093,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1449,5.358535242,168464.0764,422.6866122,2,-469.2547755,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1532,5.672546546,176680.4229,486.7161622,2,-341.1956755,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1534,5.677526808,163642.4381,405.299489,2,-504.0290219,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1558,5.766993489,154046.6523,409.4399783,2,-495.7480433,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1561,5.775877215,1342646.56,428.8907514,2,-456.8464973,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1587,5.872781881,529185.9714,443.692296,2,-427.2434079,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1601,5.923826551,167757.0645,487.2081842,2,-340.2116316,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1629,6.028195553,172100.7437,407.2075735,2,-500.2128531,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1640,6.067802762,217477.0828,551.2375214,2,-212.1529571,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1678,6.20998274,195789.4031,507.7210825,2,-299.1858351,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1699,6.287572831,749957.4069,551.2375079,2,-212.1529841,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1704,6.30410949,209399.7734,570.211409,2,-174.2051819,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1706,6.30909176,313423.9063,579.6968633,2,-155.2342734,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1708,6.31411082,123124.0584,563.2163688,2,-188.1952624,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1709,6.31646956,152431.4805,600.1979139,2,-114.2321721,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1711,6.321390044,327354.6944,579.6969006,2,-155.2341988,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1713,6.326356507,183779.3709,758.2211808,2,201.8143616,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1715,6.33131585,72658.00333,562.2275139,2,-190.1729722,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1716,6.333676201,119674.4319,583.6982192,2,-147.2315616,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1718,6.338655204,143383.4052,590.1986287,2,-134.2307427,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1738,6.412969093,282525.5176,414.3152366,2,-485.9975269,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1750,6.456109298,258933.5867,401.352514,2,-511.922972,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1759,6.487517341,345146.5336,551.7306416,2,-211.1667168,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1761,6.492499149,186148.485,407.6995374,2,-499.2289251,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1763,6.497509189,152873.8508,547.39918,2,-219.8296399,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1772,6.529401818,218586.4652,407.2076342,2,-500.2127316,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1774,6.534367083,142745.1177,434.8818203,2,-444.8643595,,,,
